Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
01:59.8,F,4,F4,4,F4-4,C4,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:00.4,F,4,F4,5,F4-5,C4,2,200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:01.8,F,3,F3,1,F3-1,C3,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:02.5,F,3,F3,2,F3-2,C3,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:03.2,F,3,F3,3,F3-3,C3,14,1400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:03.8,F,3,F3,4,F3-4,C3,12,1200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:04.4,F,3,F3,5,F3-5,C3,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:05.7,F,2,F2,1,F2-1,C2,6,600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:06.3,F,2,F2,2,F2-2,C2,14,1400,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:06.9,F,2,F2,3,F2-3,C2,32,3200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:07.6,F,2,F2,4,F2-4,C2,19,1900,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:08.2,F,2,F2,5,F2-5,C2,12,1200,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:09.6,F,1,F1,1,F1-1,C1,6,600,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:10.2,F,1,F1,2,F1-2,C1,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:10.9,F,1,F1,3,F1-3,C1,0,0,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:11.5,F,1,F1,4,F1-4,C1,3,300,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:12.1,F,1,F1,5,F1-5,C1,1,100,Control,6,"DILUTED 2:198, so cell count multiplied by 100"
02:13.7,G,1,G1,1,G1-1,T1,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:14.4,G,1,G1,2,G1-2,T1,1,100,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:15.0,G,1,G1,3,G1-3,T1,5,500,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:15.6,G,1,G1,4,G1-4,T1,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:16.3,G,1,G1,5,G1-5,T1,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
02:17.7,G,2,G2,1,G2-1,T2,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
